,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19261103,  -0.12,   0.60,  -0.09,   0.30,  -0.51,  -0.22,  -0.12,   0.50,   0.13,   1.28
19261104,   0.65,   1.82,   1.34,   0.61,   1.01,   0.64,   0.82,   0.44,   0.48,   0.40
19261105,  -0.84,  -0.77,  -0.22,  -0.15,  -0.02,  -0.02,  -0.07,   0.36,   0.20,   0.08
19261106,   1.03,   0.28,   0.24,   0.40,   0.19,   0.64,   0.10,   0.09,   0.39,  -0.68
19261108,  -0.06,   0.11,   1.78,   0.28,   0.36,   0.23,   0.30,   1.17,   0.58,  -0.18
19261109,   1.07,   0.94,   0.45,  -0.30,   0.39,   0.06,  -0.02,  -0.12,   0.13,   0.54
19261110,   2.05,  -1.02,  -0.37,  -0.41,  -1.04,  -1.22,  -0.58,  -0.54,  -0.43,  -0.66
19261111,   1.26,   0.76,   2.38,   0.66,   0.44,   0.81,   0.56,   0.57,   0.45,   0.58
19261112,  -0.57,  -0.42,   1.46,   0.53,   0.55,   0.45,   0.26,   0.34,   0.19,  -0.24
19261113,   0.16,   0.00,  -0.71,  -0.28,  -0.06,  -0.47,  -0.12,  -0.31,  -0.10,  -0.33
19261115,   1.77,  -0.07,   0.10,   0.17,   0.50,   0.75,  -0.01,   0.55,   0.33,   0.33
19261116,  -0.16,   0.82,  -0.09,   0.93,   0.12,  -0.22,   0.68,  -0.14,   0.00,   0.43
19261117,  -2.84,   0.12,  -0.28,  -0.02,  -0.28,  -0.32,  -0.49,  -0.51,  -0.11,  -0.40
19261118,  -2.11,  -0.78,  -0.60,  -0.80,  -0.27,  -1.07,  -0.20,  -0.39,  -0.33,  -0.41
19261119,  -0.18,  -0.94,  -0.61,  -0.65,  -0.13,  -0.98,  -0.88,  -0.53,  -0.35,  -0.92
19261120,   1.89,   0.91,  -0.08,   1.19,   0.19,   0.68,   0.45,   0.30,   0.56,  -0.07
19261122,   0.05,   2.01,   0.51,   0.88,   0.30,   0.73,   0.48,   0.42,   0.69,   0.80
19261123,   0.07,  -0.04,   0.54,   0.10,   0.66,   0.42,   0.31,   0.23,   0.61,   0.80
19261124,   1.55,   0.55,  -0.01,   0.25,   0.30,   0.06,   0.13,   0.12,   0.19,  -0.71
19261126,   0.02,   0.82,   0.28,  -0.30,   0.33,  -0.21,   0.57,   0.05,   0.49,   0.15
19261127,   0.21,  -0.45,  -0.54,  -0.91,  -0.04,   0.15,  -0.21,  -0.13,  -0.16,   0.05
19261129,  -1.76,  -0.48,  -0.48,  -0.64,  -0.21,  -0.03,  -0.19,  -0.09,  -0.61,  -0.73
19261130,   1.16,   0.22,   0.01,   0.97,   0.36,   0.32,   0.59,  -0.06,   0.39,   0.27
19261201,   0.87,   0.04,   0.55,   0.79,   0.69,   0.61,   0.08,   0.19,   0.31,   0.61
19261202,   0.82,   0.25,   1.57,   0.43,   0.58,   0.81,   0.33,   0.55,   0.46,   0.52
19261203,   1.11,   0.92,   1.36,   0.63,   0.25,  -0.48,  -0.08,   0.19,   0.16,   1.29
19261204,   0.13,  -0.23,  -0.44,  -0.41,  -0.40,  -0.11,   0.18,  -0.14,  -0.30,  -0.19
19261206,  -0.84,  -0.07,   0.00,  -0.28,   0.13,   0.35,   0.03,   0.11,   0.05,   0.02
19261207,   2.34,  -0.53,  -0.85,   0.02,  -0.09,  -0.44,  -0.33,   0.02,   0.06,   0.40
19261208,   0.48,   0.24,   0.14,   0.01,  -0.25,  -0.55,   0.27,   0.03,  -0.01,  -0.03
19261209,   1.11,   0.52,   0.52,   0.36,   0.23,   0.99,   0.32,   0.38,   0.51,   0.33
19261210,  -0.01,   0.16,   0.48,   0.64,   0.75,   0.38,   0.27,   0.26,   0.41,   0.37
19261211,  -0.18,   0.29,   0.74,  -0.25,   0.42,   0.28,   0.28,   0.06,  -0.11,  -0.20
19261213,   1.28,   0.47,   2.07,   0.65,   0.17,   0.03,   0.03,   0.32,   0.09,   1.50
19261214,  -0.27,   0.69,  -0.71,  -0.31,   0.10,  -0.04,  -0.13,   0.21,   0.32,   0.41
19261215,  -0.57,   0.10,  -0.02,   0.43,  -0.04,   0.59,   0.28,   0.03,   0.25,  -0.15
19261216,  -1.17,  -1.15,  -0.63,  -1.18,  -0.58,  -0.50,  -0.35,  -0.37,  -0.47,  -1.10
19261217,   0.71,   0.13,   0.97,   0.19,   0.86,   0.54,   1.01,   1.45,   1.30,   0.40
19261218,   0.66,   0.63,   0.80,   0.10,   0.33,   0.26,   0.31,   0.53,   0.31,   0.84
19261220,  -0.88,  -1.03,  -0.67,  -0.21,   0.05,  -0.51,  -0.15,  -0.29,  -0.38,  -0.43
19261221,   0.59,  -0.47,  -0.31,  -0.79,  -0.12,   0.14,   0.13,  -0.13,  -0.16,   0.54
